match_api_id,event_id,elapsed,home_team_api_id,home_possession,away_team_api_id,away_possession
489042,379029,25,10260,56.0,10261,44.0
489042,379251,45,10260,54.0,10261,46.0
489042,379443,70,10260,54.0,10261,46.0
489042,379575,90,10260,55.0,10261,45.0
489043,375608,27,9825,65.0,8659,35.0
489043,375663,45,9825,61.0,8659,39.0
489043,375787,74,9825,65.0,8659,35.0
489043,375909,90,9825,66.0,8659,34.0
489044,377876,25,8472,45.0,8650,55.0
489044,377944,45,8472,43.0,8650,57.0
489044,378011,70,8472,48.0,8650,52.0
489044,378069,90,8472,46.0,8650,54.0
489045,376411,25,8654,50.0,8528,50.0
489045,376739,45,8654,56.0,8528,44.0
489045,377303,69,8654,41.0,8528,59.0
489045,377621,90,8654,52.0,8528,48.0
489046,378668,25,10252,51.0,8456,49.0
489046,378781,45,10252,54.0,8456,46.0
489046,379034,70,10252,49.0,8456,51.0
489046,379254,90,10252,52.0,8456,48.0
489047,376438,25,8668,46.0,8655,54.0
489047,376819,45,8668,59.0,8655,41.0
489047,377333,70,8668,51.0,8655,49.0
489047,377673,90,8668,51.0,8655,49.0
489048,376406,25,8549,49.0,8586,51.0
489048,376755,45,8549,49.0,8586,51.0
489048,377393,76,8549,53.0,8586,47.0
489048,377588,90,8549,53.0,8586,47.0
489049,376417,25,8559,58.0,10194,42.0
489049,376824,45,8559,47.0,10194,53.0
489049,377330,70,8559,51.0,10194,49.0
489049,377668,90,8559,47.0,10194,53.0
489050,376398,24,8667,49.0,9879,51.0
489050,377348,70,8667,50.0,9879,50.0
489050,377672,90,8667,53.0,9879,47.0
489051,378256,27,8455,57.0,8462,43.0
489051,378327,45,8455,64.0,8462,36.0
489051,378473,72,8455,65.0,8462,35.0
489132,464186,25,10260,59.0,8654,41.0
489132,464546,45,10260,58.0,8654,42.0
489132,465422,71,10260,59.0,8654,41.0
489132,465719,90,10260,60.0,8654,40.0
489133,465263,66,9825,63.0,8586,37.0
489133,465687,90,9825,62.0,8586,38.0
489134,464068,25,8549,48.0,8456,52.0
489134,464503,45,8549,57.0,8456,43.0
489134,465325,70,8549,49.0,8456,51.0
489134,465671,90,8549,45.0,8456,55.0
489135,464152,25,8559,55.0,8668,45.0
489135,464675,45,8559,55.0,8668,45.0
489135,465406,70,8559,55.0,8668,45.0
489135,465683,90,8559,53.0,8668,47.0
489137,463760,25,10194,49.0,8472,51.0
489137,464300,45,10194,50.0,8472,50.0
